"Abmeldepha
se";"Modulnumm
er BWL";"Modulnumm
er VWL";"Modulnumm
er WI";"Modulnumm
er PuW,
WuR";"Modulnumm
er Ökön.";Modulbezeichnungen;Prüfung;Prüfer:in;2. Prüfer:in;Dauer (Min.);Klausurtyp;"Klausur
(JA/NEIN)";"Weitere
Modulleistung
(Freitext)";"Anmeldung
vorgezogen
(JA/NEIN)";"Termin
vorgezogen
(JA/NEIN)";Tag;Datum;Beginn;Ende
"Tag vor der
Prüfung";;VWL 04;;WPM W 11;WPM W 11;Angewandte Wirtschaftsforschung: Staatseinnahmen;Allgemeine Steuerlehre;Prof. Joh. Becker;Prof. Riedel;60;Standard;JA;;NEIN;NEIN;Montag;3022025;13:00;14:00:00
"Tag vor der
Prüfung";QM 01;QM S1;;;;Analysis für Wirtschaftswissenschaften;Analysis für WIWI;Dr. Terveer;Prof. Gieseke;60;LPLUS;JA;;NEIN;NEIN;Mittwoch;5022025;8:00;
"Tag vor der
Prüfung";BWL 11;BWL 11;VM BWL;;;"Vertiefung Accounting
(besteht aus den Prüfungen Bilanzen II und Business
Analysis- 3 LP)";"Bilanzen II
(PO 2018 - 3 LP)";Prof. Kirsch;Prof. Kajüter;60;Standard;JA;;NEIN;NEIN;Dienstag;11022025;8:00;09:30:00
"Tag vor der
Prüfung";"TRV 05.
TRV 06,
VWL 21";"WPV 19,
WPV 20,
VWL 21";;;;"Ausgewählte Kapitel der Wirtschaftspolitik 1,
Ausgewählte Kapitel der Wirtschaftspolitik 2,
Business Cooperation: Governance";Business Cooperation: Governance;Dr. Meyer;Jun.-Prof. Klein;120;Standard;JA;;NEIN;NEIN;Mittwoch;19022025;11:00;13:00:00
"Tag vor der
Prüfung";"BWL 05,
BWL 03";"WPB 03,
BWL 03";"BWL 05,
VM BWL";;;Controlling;"Controlling
(Management Accounting)";Prof. Artz;Prof. Kajüter;90;Standard;JA;;NEIN;NEIN;Freitag;21022025;8:00;09:30:00
"Tag vor der
Prüfung";"QM 03,
QRS 02";"QMS 03,
QRS 02";;PM SF 01;"PM 08,
WPM W 14";"Data Science 2,
Statistik/fächerübergreifende Methoden";"Data Science 2
(Statistik 2)";Prof. Trede;Dr. Beccarini;120;Standard;JA;;NEIN;NEIN;Freitag;7022025;14:30;16:30:00
"Tag vor der
Prüfung";;;QM 03;;;Daten und Wahrscheinlichkeiten;Daten und Wahrscheinlichkeiten;tba;Prof. Gieseke;90;Standard;JA;"Studienleistung
Hausaufgaben
(nur im
Wintersemester
angeboten)";NEIN;NEIN;Donnerstag;6022025;10:00;14:00:00
"Tag vor der
Prüfung";;;QM 03;;;Daten und Wahrscheinlichkeiten;Daten und Wahrscheinlichkeiten;tba;Prof. Gieseke;90;Standard;JA;NEIN;NEIN;NEIN;Donnerstag;6022025;10:00;14:00:00
"Tag vor der
Prüfung";;;WI 06;;;Digital Business;Digital Business;Dr. Stockhinger;tba;60;Standard;JA;"Präsentation +
Übungen";NEIN;NEIN;Donnerstag;13022025;15:00;16:00:00
"Tag vor der
Prüfung";"TRV 22,
BWL 29";"WPV 07,
VWL 17";;WPM W 08;"WPM W 08,
WPM W 04";"Ökonometrie,
Econometrics";Econometrics;Prof. Wilfling;Prof. Trede;90;Standard;JA;;NEIN;NEIN;Montag;17022025;11:00;12:30:00
;;;;PM W 03;PM W 03;Grundlagen betriebswirtschaftlichen Handelns;"Einführung in die
Betriebswirtschaftslehre";Prof. Dilger;Prof. Müller;90;Standard;JA;;NEIN;NEIN;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";"SK,
QRS 04";;;;;Schlüsselqualifikation;"Einführung in die Tabellenkalkulation
(MS Excel)";Dr. Schmitting;Prof. Berens;60;Computer-Klausur;JA;;NEIN;NEIN;Mittwoch;5022025;17:00;18:00:00
"Tag vor der
Prüfung";;;"VWL 01,
So 1";;;Einführung in die Volkswirtschaftslehre;"Einführung VWL für
Wirtschaftsinformatiker";Prof. Sieg;Prof. Gretschko;90;Standard;JA;;NEIN;NEIN;Dienstag;4022025;9:00;10:30:00
"Tag vor der
Prüfung";"TRB 33
BWL 12";"WPB 40
BWL 12";VM BWL;;;"Taxation,
Vertiefung Taxation
(besteht aus den Prüfungen Ertragsteuern und
Verkehrssteuern)";Ertragsteuern;Prof. Watrin;"Prof. Kirsch/Dr.
Weber";60;Standard;JA;;Nein;nein;Mittwoch;5022025;11:00;12:00:00
22.10.2024;TRV 25;WPV 12;;;;Seminar zur Mikroökonomie 1;Experimente mit ChatGPT;Prof. Gretschko;Dr. Lingens;60;Standard;NEIN;;JA;NEIN;;;Bitte wenden Sie sich an den Lehrstuhl;
22.10.2024;"TRB 04,
BWL S01";"WPB 07,
BWL S01";;;;"Finance & Accounting Fallstudienseminar,
Finance und Accounting Seminar";Finance & Accounting Fallstudienseminar;Prof. Watrin;Prof. Langer;60;Standard;JA;Fallstudien;JA;NEIN;Montag;10022025;13:00;14:00:00
"Tag vor der
Prüfung";"TRV 21,
VWL 12";"WPV 06,
VWL 12";;WPM W 25;WPM 25;Monetäre Ökonomie I;Geldpolitik;Prof. Bohl;Prof. Kempa;120;Standard;JA;;NEIN;NEIN;Dienstag;11022025;12:30;14:30:00
"Tag vor der
Prüfung";TRV 15;"VWL 08,
VWL 07";;WPM W 06;WPM 15;"Geldtheorie,
Makroökonomik III";Geldtheorie;Prof. Bohl;Prof. Kempa;120;Standard;JA;;NEIN;NEIN;Donnerstag;13022025;12:00;14:00:00
"Tag vor der
Prüfung";VWL 02;VWL 03;;;;Grundlagen der Makroökonomik;"Grundlagen der Makroökonomik (PO
2022 - 6 LP)";Prof. Watzinger;Prof. Kempa;90;Standard;JA;;NEIN;NEIN;Donnerstag;6022025;14:30;16:00:00
"Tag vor der
Prüfung";VWL 01;VWL 02;;;;"Einführung in die VWL & Mikroökonomik,
Grundlagen der Mikroökonomik";"Grundlagen der Mikroökonomik (PO
2022 - 6 LP)";Prof. Riedel;Prof. Gretschko;120;Standard;JA;;NEIN;NEIN;Montag;17022025;8:00;09:30:00
"Tag vor der
Prüfung";"TRV 17,
VWL 28";"WPV 03,
VWL 28";;WPM W 15;WPM W 16;Grundlagen der Verkehrsökonomik;Grundlagen der Verkehrsökonomik;Prof. Sieg;Prof. Gretschko;120;Standard;JA;;NEIN;NEIN;Freitag;14022025;13:30;15:30:00
"Tag vor der
Prüfung";BWL 05;BWL 05;BWL 08;;;Grundlagen des Marketing;Grundlagen des Marketing;Prof. Wiesel;Prof. Krafft;90;LPLUS;JA;;NEIN;NEIN;Montag;3022025;8:00;10:00:00
"Tag vor der
Prüfung";TRB 08;;;;;Handelsrecht und Gesellschaftsrecht;Handelsrecht und Gesellschaftsrecht I;Prof. Kindl;"Prof. Casper /
Prof. Saenger";60;Standard;JA;;NEIN;NEIN;Donnerstag;13022025;10:00;11:00:00
"Tag vor der
Prüfung";"TRB 10,
BWL 31";"WBP 13,
BWL 31";"BWL 12,
VM BWL";;;"Human Resource Management & Entrepreneurship,
Ausgewählte Kapitel der Betriebswirtschaftslehre";"Human Resource Management &
Entrepreneurship";Prof. Schäpers;Prof. Bendig;90;Standard;JA;;NEIN;NEIN;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";BWL 04;FCM 01;BWL 01;;;Investition und Finanzierung;Investition und Finanzierung;Prof. Branger;Prof. Schneider;90;Standard;JA;;NEIN;NEIN;montag;10022025;8:00;09:30:00
"Tag vor der
Prüfung";;;WI7;;;IT-Driven Innovation;IT-Driven Innovation;Prof. Brandt;Jun,.Prof. Berger;120;Standard;JA;Fallstudie + Video;NEIN;NEIN;Donnerstag;20022025;8:00;10:00:00
"Tag vor der
Prüfung";;;"WI 04,
So 2";;;IT-Recht;IT-Recht;Prof. Luckhaus;Prof. Becker (WI);60;Standard;JA;;NEIN;NEIN;Montag;11022025;10:30;11:30:00
"Tag vor der
Prüfung";TRB 11;WPB 14;;;;Konzernbilanzen;Konzernbilanzen;Prof. Kirsch;Prof. Kajüter;90;Standard;JA;;NEIN;NEIN;Samstag;;;
"Tag vor der
Prüfung";VWL 2;VWL 2;;;;Makroökonomik I;Makroökonomik I (PO 2020, 2018 - 9 LP);Prof. Watzinger;Prof. Kempa;120;Standard;JA;;NEIN;NEIN;Donnerstag;6022025;14:30;16:30:00
"Tag vor der
Prüfung";"BWL 06,
BWL 10";"WPB 15,
BWL 10";"BWL 06,
VM BWL";;;Management & Governance;Management & Governance;Prof. Backmann;Prof. Rieger;120;Standard;JA;;NEIN;NEIN;Freitag;14022025;8:00;10:00:00
"Tag vor der
Prüfung";"TRB 39,
BWL 31";"WPB 46,
BWL 31";;;;"Managing Radical Change and Innovation,
Ausgewählte Kapitel der Betriebswirtschaftslehre";Managing Radical Change and Innovation;Prof. Backmann;"Prof. Dr.
Hohenberg";90;Standard;JA;;NEIN;NEIN;Freitag;7022025;10:00;11:30:00
"Tag vor der
Prüfung";"BWL 10,
BWL 09";"WPB 16,
BWL 09";"BWL 10,
VM BWL";;;"Marketing Analytics,
Quantitatives Marketing";"Marketing Analytics 2
(Marketing Operations)";Prof. Krafft;Prof. Hennig-Thurau;60;Standard;JA;;NEIN;NEIN;Donnerstag;13022025;8:00;09:00:00
"Tag vor der
Prüfung";TRV 16;VWL 07;;;;Grundlagen der Industrieökonomik;Markt- und Preistheorie (PO 2022 - 6 LP);Prof. Gretschko;Dr. Lingens;60;Standard;JA;;NEIN;NEIN;Donnerstag;20022025;11:00;12:00:00
"Tag vor der
Prüfung";;VWL 03;;;;Mikroökonomik II;"Markt- und Preistheorie
(PO 2020 und 2018 - 4,5 LP)";Prof. Gretschko;Dr. Lingens;60;Standard;JA;;NEIN;NEIN;Donnerstag;20022025;11:00;12:00:00
"Tag vor der
Prüfung";;;QM 01;;;Mathematik für WI;Mathematik für WI;Dr. Terveer;Prof. Gieseke;90;LPLUS;JA;"Studienleistung
Hausaufgaben
(nur im
Wintersemester
angeboten)";NEIN;NEIN;Mittwoch;5022025;8:00;
