"Abmeldepha
se";"Modulnumm
er BWL";"Modulnumm
er VWL";"Modulnumm
er WI";"Modulnumm
er PuW,
WuR";"Modulnumm
er Ökön.";Modulbezeichnungen;Prüfung;Prüfer:in;2. Prüfer:in;Dauer (Min.);Klausurtyp;"Klausur
(JA/NEIN)";"Weitere
Modulleistung
(Freitext)";"Anmeldung
vorgezogen
(JA/NEIN)";"Termin
vorgezogen
(JA/NEIN)";Tag;Datum;Beginn;Ende
"Tag vor der
Prüfung";"TRB 37,
BWL 16";"WPB 44,
BWL 16";;;;Advanced Management;Advanced Management;Prof. Rieger;Prof. Bendig;90;Standard;JA;Präsentation;JA;JA;Samstag;30112024;10:30;12:00:00
"Tag vor der
Prüfung";"TRV 11,
VWL 7a";VWL 05;;WPM W 05;WPM W 06;"Außenwirtschaft,
Makroökonomik II";Außenwirtschaft;Prof. Kempa;Prof. Bohl;90;Standard;JA;;JA;JA;Samstag;30112024;10:30;12:00:00
"Tag vor der
Prüfung";;;;PM W 03;PM W 03;Grundlagen betriebswirtschaftlichen Handelns;Betriebliches Rechnungswesen;Prof. Dilger;Prof. Müller;90;Standard;JA;;JA;JA;Donnerstag;19122024;12:00;14:00:00
"Tag vor der
Prüfung";BWL 08;WPB 01;BWL 08;;;Bilanzen und Steuern;"Bilanzen
(PO 2022 - 3 LP)";Prof. Kirsch;Prof. Kajüter;60;Standard;JA;;JA;JA;Freitag;6122024;8:00;09:00:00
"Tag vor der
Prüfung";BWL 06;;VM BWL;;;Planung, Steuern und Bilanzen;"Bilanzen I
(PO 2018 - 4,5 LP)";Prof. Kirsch;Prof. Kajüter;60;Standard;JA;;JA;JA;Freitag;6122024;8:00;09:00:00
"Tag vor der
Prüfung";BWL 02;BWL 02;BWL 02;;;Grundlagen des Rechnungswesen;Buchführung und Abschluss;Dr. Brink;Prof. Kajüter;60;Standard;JA;;JA;JA;Dienstag;17122024;8:00;09:00:00
"Tag vor der
Prüfung";BWL 11;BWL 11;VM BWL;;;"Vertiefung Accounting
(besteht aus den Prüfungen Bilanzen II und Business
Analysis- 3 LP)";"Business Analysis
(PO 2018 - 3 LP)";Prof. Kajüter;Prof. Kirsch;60;Standard;JA;;JA;JA;Donnerstag;19122024;8:00;09:00:00
"Tag vor der
Prüfung";TRB 01;WPB 02;;;;Business Analysis;"Business Analysis
(PO 2022 - 6 LP)";Prof. Kajüter;Prof. Kirsch;90;Standard;JA;;JA;JA;Donnerstag;19122024;8:00;09:30:00
"Tag vor der
Prüfung";"TRV 05.
TRV 06,
VWL 22";"WPV 19,
WPV 20,
VWL 22";;;;"Ausgewählte Kapitel der Wirtschaftspolitik 1,
Ausgewählte Kapitel der Wirtschaftspolitik 2,
Business Cooperation: Management";Business Cooperation: Management;Dr. Meyer;Jun.-Prof. Klein;120;Standard;JA;;JA;JA;Montag;16122024;8:00;10:00:00
"Tag vor der
Prüfung";;;WI 05;;;Kommunikations- und Kollaborationssysteme;"Communication and Collaboration
Systems";Jun.-Prof. Berger;Dr. Lechtenbörger;60;Standard;JA;Übungen;JA;JA;Samstag;30112024;8:00;09:00:00
"Tag vor der
Prüfung";;;INF 04;;;Computer Structures and Operating Systems;"Computer Structures and Operating
Systems";Dr. Lechtenbörger;Prof. Grimme;120;Standard;JA;Übungsaufgaben;JA;JA;Freitag;29112024;15:00;17:00:00
"Tag vor der
Prüfung";"BWL 09,
BWL 07";"WPB 04,
BWL 07";"BWL 09,
VM BWL";;;"Corporate Finance,
Betriebliche Finanzwirtschaft";Corporate Finance;Prof. Langer;Prof. Guenster;90;Standard;JA;;JA;JA;Samstag;30112024;8:00;09:30:00
"Tag vor der
Prüfung";"TRB 2,
BWL 31";WPB 5;;;;"Corporate Restructuring & Transformation,
Ausgewählte Kapitel der Betriebswirtschaftslehre";"Corporate Restructuring &
Transformation";Prof. Artz;Prof. Kajüter;60;Standard;JA;Fallstudien;JA;JA;Dienstag;17122024;14:00;15:00:00
"Tag vor der
Prüfung";BWL 07;WPB 38;BWL 07;;;Corporate Strategy and Sustainability;"Corporate Strategy and Sustainability
(Vorleistungen aus dem SoSe 24 müssen
erbracht worden sein)";Prof. Bendig;Prof. Backmann;90;"Mündliche
Prüfung";JA;"Schriftliche
Ausarbeitung aus
SoSe 2024";JA;JA;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";"SK,
QRS 04";;;;;Schlüsselqualifikation;Data Literacy - Ausgewählte Kapitel;Dr. Schmitting;Prof. Artz;60;Computer-Klausur;JA;;JA;JA;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";"QM 02,
QRS 02";"QMS 02,
QRS 02";;"PM SF 1a,
WPM SF
1.2a,
PM SF 01";"PM 07,
WPM W 14";"Data Science 1,
Statistik/fächerübergreifende Methoden";"Data Science 1
(Statistik 1)";Prof. Trede;Dr. Beccarini;120;Standard;JA;;JA;JA;Samstag;14122024;8:00;10:00:00
"Tag vor der
Prüfung";;;QM 04;;;Datenanalyse;Datenanalyse;Dr. Terveer;tba;120;Standard;JA;"Studienleistung
Hausaufgabe
(PO22), nur im
Sommersemester
möglich)";JA;JA;Samstag;14122024;10:30;12:30:00
"Tag vor der
Prüfung";;;QM 04;;;Datenanalyse und Simulation;Datenanalyse;Dr. Terveer;tba;120;Standard;JA;;JA;JA;Samstag;14122024;10:30;12:30:00
"Tag vor der
Prüfung";;;WI 02;;;Datenmanagement;Datenmanagement;Prof. vom Brocke;Prof. Becker (WI);120;Standard;JA;Übungen;JA;JA;Samstag;7122024;8:00;10:00:00
22.10.2024;"SK,
QRS 04";;;;;Schlüsselqualifikation;DATEV-Führerschein;Prof. Watrin;"Prof. Kirsch/Dr.
Weber";120;Standard;JA;;JA;JA;;;Bitte wenden Sie sich an den Lehrstuhl;
